50
51
2.042	4.858	8.967	1.089	5.953	7.348	7.132	8.262	6.207	1.669	7.515	9.728	4.319	8.017	2.813	4.669	2.14	9.91	1.764	8.938	5.56	7.666	9.948	9.034	9.845	9.338	8.638	8.687	9.283	3.496	7.535	2.547	3.773	3.548	9.703	8.633	8.313	8.467	5.31	9.911	2.451	8.422	1.724	8.965	7.869	6.589	4.898	2.14	3.497	6.418	6.679	
1.794	4.049	2.932	1.365	1.282	6.447	2.908	4.188	9.781	6.772	8.596	6.445	6.355	9.127	9.774	6.077	4.326	2.374	2.689	6.66	2.71	1.244	3.824	3.106	1.831	8.228	9.083	9.737	6.879	1.493	4.706	4.977	1.907	9.463	6.009	8.013	6.124	1.674	9.784	2.026	6.436	2.294	8.882	9.693	8.628	1.677	5.205	4.221	3.364	3.418	5.23	
2.551	8.26	1.748	6.891	2.918	7.649	9.987	9.749	8.674	1.831	3.854	4.043	2.587	3.451	2.582	4.225	7.903	4.413	4.275	2.516	2.245	8.93	5.87	3.126	5.388	7.505	1.35	5.366	3.124	8.934	9.246	9.571	1.215	4.033	5.323	5.512	8.851	7.72	1.551	4.919	6.281	3.436	7.258	2.914	9.35	5.797	7.122	2.97	7.004	6.09	4.12	
4.634	3.712	6.842	3.523	1.968	2.055	4.298	7.647	8.21	9.139	5.869	3.019	4.405	6.932	2.202	9.879	9.732	4.613	4.964	9.033	9.121	1.729	5.292	1.79	7.808	2.81	7.861	4.74	1.897	4.574	5.152	1.297	4.179	6.513	8.984	5.546	1.127	4.629	3.721	1.186	4.013	4.474	8.411	6.534	1.295	7.115	4.45	3.054	5.738	3.012	9.691	
6.156	7.131	6.444	2.955	4.925	8.727	9.579	3.062	8.742	5.147	3.446	2.192	9.363	3.886	3.033	8.853	6.815	7.786	9.802	3.362	4.449	1.474	8.93	6.608	4.249	3.246	3.69	5.578	8.11	3.904	7.233	3.005	8.924	3.411	7.515	7.003	2.441	5.507	4.503	1.687	8.478	4.32	4.698	2.969	3.201	2.331	7.842	6.659	4.962	4.838	9.984	
7.376	5.096	8.032	2.386	7.475	9.842	8.793	7.053	2.964	4.804	4.324	1.189	9.548	4.432	9.357	2.807	7.226	5.433	4.988	9.246	3.99	3.41	1.915	9.153	2.619	8.178	7.044	8.724	4.702	5.888	7.025	9.725	7.111	3.86	7.981	7.422	7.358	8.776	1.465	9.557	9.324	4.018	2.759	4.399	2.421	2.443	3.448	7.168	3.63	8.037	6.962	
3.534	1.584	4.253	9.019	5.543	3.82	1.104	6.473	4.282	5.311	3.552	6.333	3.622	3.353	5.037	8.642	5.922	8.429	4.461	4.255	2.439	9.731	1.013	7.627	4.484	4.958	1.781	8.402	1.006	9.588	9.557	8.031	7.246	7.312	3.28	9.186	8.158	5.189	8.46	1.492	2.662	7.608	1.912	4.744	5.089	2.278	8.104	2.871	4.374	6.549	8.625	
9.285	4.38	7.943	1.317	6.064	3.177	2.614	4.877	2.318	5.485	5.512	3.154	4.207	3.595	3.12	4.212	7.702	2.989	4.456	9.249	4.611	5.976	9.453	8.204	2.058	1.877	1.114	5.206	5.736	1.474	6.07	4.666	2.558	5.337	5.352	4.684	3.777	7.304	8.105	6.598	9.408	6.485	4.283	7.724	2.858	3.396	1.739	2.162	7.37	8.612	5.744	
8.314	8.664	9.048	8.398	8.55	8.241	6.186	6.124	3.785	2.833	8.548	6.713	1.869	3.759	9.66	3.628	7.867	9.967	1.242	4.641	2.377	8.917	9.459	3.363	5.416	3.277	1.728	8.825	5.209	4.743	9.636	5.848	2.036	5.762	6.154	8.772	7.836	4.398	8.358	8.351	6.39	3.497	5.214	6.646	3.728	4.921	7.877	3.744	8.402	2.859	3.021	
8.539	9.418	7.909	2.527	5.156	8.065	4.862	8.249	2.459	7.581	1.856	6.257	6.869	5.058	9.455	1.63	5.046	1.876	1.227	9.087	5.45	8.193	5.251	8.454	2.596	7.548	5.75	9.122	6.743	2.94	4.032	2.292	3.915	3.773	9.426	5.008	8.541	8.532	5.934	1.952	6.297	6.967	9.348	8.942	6.215	9.527	5.06	7.875	3.157	6.316	6.52	
5.499	8.454	7.693	6.41	8.418	2.912	2.366	6.957	6.151	3.365	6.521	8.534	3.112	2.04	8.427	6.04	6.488	4.35	4.255	1.638	6.012	6.788	6.211	3.884	4.674	7.503	7.596	3.422	4.022	5.28	1.974	5.686	9.504	3.208	9.115	9.12	5.811	1.544	1.706	3.881	2.696	4.46	3.616	6.869	1.727	1.207	1.637	2.972	9.776	9.257	7.826	
